claim_id,entity_id,rank,property_id,datatype,datavalue,sampling_weight_vb,sampling_weight,entity_label,property_label,object_label,theme_entity_id,theme_entity_label,entity_desc,property_desc,object_desc,entity_alias,property_alias,object_alias,entity_label_lan,property_label_lan,object_label_lan,entity_desc_lan,property_desc_lan,object_desc_lan,entity_alias_lan,property_alias_lan,object_alias_lan,verbalisation,processed_verbalisation,unk_count,property_and_theme_id,campaign_group,fluency,fluency_mean,fluency_median,adequacy,reason_no,reason_not_sure,adequacy_maj,adequacy_perc,had_labels,had_descriptions,had_aliases
Q20451714$49CB1F7A-FC51-41CF-81EA-3EC1EC81AB5D,Q20451714,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Livramento Do Brumado Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SNLB'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Livramento Do Brumado Airport is used by general aviation.,Livramento Do Brumado Airport is used by general aviation.,0,P366Q1248784,0,"[5, 5, 2, 4, 3]",3.8,4.0,"[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
Q1655953$CAAADB1F-5DCA-4492-8707-EEAAAE8C7035,Q1655953,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Confresa Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,"['CFO', 'SJHG']","['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Confresa Airport is used by general aviation.,Confresa Airport is used by general aviation.,0,P366Q1248784,0,"[3, 3, 3, 0, 4]",2.6,3.0,"[2, 0, 0, 1, 0]","[-1, 2, -1, 4, -1]","[0, -1, -1, -1, -1]",0,0.6,3,3,3
Q12692647$4C0066D0-8B10-433F-88F1-6AA6B01EE058,Q12692647,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Fazenda Bananeira Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SDZS'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Fazenda Bananeira Airport is used by general aviation.,Fazenda Bananeira Airport is used by general aviation.,0,P366Q1248784,0,"[4, 4, 3, 5, 4]",4.0,4.0,"[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
Q7589682$2dd0b4b8-4b51-8876-1a25-4adf01ccfbf4,Q7589682,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1133228, 'id': 'Q1133228'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,St. Louis Regional Airport,use,air taxi,Q1248784,Airport,"general aviation airport serving Greater St. Louis, USA",main use of the subject (includes current and former usage),"on-demand commercial air transportation, particularly of smaller quantities of passenger or cargo by aeroplane or helicopter","['St. Louis Airport', 'Civic Memorial Field', 'St. Louis Civic Airport', 'ALN', 'KALN']","['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']",no-alias,en,en,en,en,en,en,en,en,none,St. Louis Regional Airport uses an air taxi.,St. Louis Regional Airport uses an air taxi.,0,P366Q1248784,0,"[4, 5, 4, 5, 5]",4.6,5.0,"[0, 0, 1, 0, 0]","[2, 1, 2, -1, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,2
Q9586474$814EF1BE-6ACE-4627-9EF1-D0C4A24DFE3F,Q9586474,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Santa Rosa do Purus Airport,use,general aviation,Q1248784,Airport,"airport in Grajaú, Brazil",main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SDOE'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Santa Rosa do Purus Airport is used by general aviation.,Santa Rosa do Purus Airport is used by general aviation.,0,P366Q1248784,0,"[3, 2, 5, 3, 5]",3.6,3.0,"[0, 0, 0, 0, 0]","[1, -1, -1, -1, 3]","[-1, -1, -1, 1, -1]",0,1.0,3,3,3
Q738719$a71d1897-41d7-fb3b-0841-e59f8928e23d,Q738719,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 9640723, 'id': 'Q9640723'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Paris–Le Bourget Airport,use,commercial aviation,Q1248784,Airport,general aviation and former commercial airport serving Paris,main use of the subject (includes current and former usage),transport system providing air transport for hire,"['Paris-Le Bourget Airport', 'Paris Le Bourget Airport', 'Le Bourget Airport', 'LBG', 'LFPB', 'Advanced Landing Ground A-54', 'A54', 'PARIS-LE BOURGET airport', 'PARIS-LE BOURGET']","['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['commercial air transport', 'comav']",en,en,en,en,en,en,en,en,en,The Paris–Le Bourget Airport is used by commercial aviation.,The Paris–Le Bourget Airport is used by commercial aviation.,0,P366Q1248784,0,"[5, 3, 3, 5, 2]",3.6,3.0,"[0, 0, 0, 0, 0]","[1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,1.0,3,3,3
Q12693573$B0E9E55D-4573-49FB-BD6D-B310DB08062C,Q12693573,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Leda Mello Resende Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SIAB'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Leda Mello Resende Airport is used by general aviation.,Leda Mello Resende Airport is used by general aviation.,0,P366Q1248784,0,"[4, 5, 4, 5, 5]",4.6,5.0,"[0, 0, 0, 0, 2]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, 1]",0,0.8,3,3,3
Q738719$fb007a7e-46e5-7ed4-0a14-aa435718c2b2,Q738719,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1070669, 'id': 'Q1070669'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Paris–Le Bourget Airport,use,air show,Q1248784,Airport,general aviation and former commercial airport serving Paris,main use of the subject (includes current and former usage),event at which aviators display their flying skills and the capabilities of their aircraft,"['Paris-Le Bourget Airport', 'Paris Le Bourget Airport', 'Le Bourget Airport', 'LBG', 'LFPB', 'Advanced Landing Ground A-54', 'A54', 'PARIS-LE BOURGET airport', 'PARIS-LE BOURGET']","['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['air fair', 'air tattoo', 'airshow']",en,en,en,en,en,en,en,en,en,Paris–Le Bourget Airport is used for an air show.,Paris–Le Bourget Airport is used for an air show.,0,P366Q1248784,0,"[3, 5, 2, 4, 4]",3.6,4.0,"[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
Q738719$0cf4ae06-4c7e-0f50-af4d-3d9260e34acf,Q738719,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Paris–Le Bourget Airport,use,general aviation,Q1248784,Airport,general aviation and former commercial airport serving Paris,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,"['Paris-Le Bourget Airport', 'Paris Le Bourget Airport', 'Le Bourget Airport', 'LBG', 'LFPB', 'Advanced Landing Ground A-54', 'A54', 'PARIS-LE BOURGET airport', 'PARIS-LE BOURGET']","['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,The general aviation use of Paris–Le Bourget Airport.,The general aviation use of Paris–Le Bourget Airport.,0,P366Q1248784,0,"[2, 2, 4, 3, 5]",3.2,3.0,"[0, 0, 0, 0, 0]","[-1, -1, -1, -1, 2]","[-1, -1, -1, -1, -1]",0,1.0,3,3,3
Q20447996$A2E47D0B-39C8-4EEB-A959-8D2BC9DB9EF1,Q20447996,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Pedro Afonso Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SWPA'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Pedro Afonso Airport is used by general aviation.,Pedro Afonso Airport is used by general aviation.,0,P366Q1248784,1,"[5, 5, 5, 4, 5]",4.8,5.0,"[0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,1.0,3,3,3
Q12694528$72806067-0B9A-4F12-9137-D13CCD536437,Q12694528,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Primo Bitti Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SIFV'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Primo Bitti Airport is used by general aviation.,Primo Bitti Airport is used by general aviation.,0,P366Q1248784,1,"[2, 5, 2, 3, 5]",3.4,3.0,"[0, 0, 0, 2, 0]","[-1, -1, -1, 0, -1]","[-1, -1, -1, 3, -1]",0,0.8,3,3,3
Q18472416$6BC40A45-FCD0-4492-9590-FD4D73F96634,Q18472416,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Ibaté Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SDIE'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Ibaté Airport is used by general aviation.,Ibaté Airport is used by general aviation.,0,P366Q1248784,1,"[5, 2, 5, 4, 4]",4.0,4.0,"[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
Q16144811$32D66FD9-4A2C-4A24-A5EF-78E97111E449,Q16144811,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Asas de Balsa Nova Airport,use,general aviation,Q1248784,Airport,airport in Brazil,main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,['SJPR'],"['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,Asas de Balsa Nova Airport is used by general aviation.,Asas de Balsa Nova Airport is used by general aviation.,0,P366Q1248784,1,"[4, 3, 5, 4, 2]",3.6,4.0,"[0, 0, 0, 1, 0]","[-1, -1, -1, 1, -1]","[-1, -1, 0, -1, -1]",0,0.8,3,3,3
Q9585765$B833EDD5-39C2-433E-B081-B2DDB824F843,Q9585765,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143,Calçoene Airport,use,general aviation,Q1248784,Airport,"airport in Cabixi, Brazil",main use of the subject (includes current and former usage),civil use of aircraft excluding commercial transportation,"['Calcoene Airport', 'SNCC']","['function', 'role', 'mission', 'purpose', 'utility', 'used for', 'used in', 'usage', 'used as', 'as', 'unit mission']","['GA', 'G/A', 'genav', 'civil aviation']",en,en,en,en,en,en,en,en,en,The use of Calçoene Airport is general aviation.,The use of Calçoene Airport is general aviation.,0,P366Q1248784,1,"[2, 4, 5, 4, 4]",3.8,4.0,"[0, 0, 0, 0, 0]","[-1, -1, -1, 0, -1]","[-1, -1, -1, -1, -1]",0,1.0,3,3,3
Q5260269$50AA9C5F-BEAA-4F3A-A17D-CCFF552F13D2,Q5260269,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6940, 'id': 'Q6940'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665,Ketapang Airport,located in time zone,UTC+07:00,Q1248784,Airport,"airport in Ketapang, Indonesia",time zone for this item,Identifier for a time offset from UTC of +7,"['KTG', 'WIOK']","['timezone', 'time zone', 'time', 'TZ']","['Indochina Time', 'Western Indonesian Time', 'Kansu-Szechuan Time', 'Thailand Standard Time', 'utc+7']",en,en,en,en,en,en,en,en,en,Ketapang Airport is located in time zone UTC+07:00.,Ketapang Airport is located in time zone UTC+07:00.,0,P421Q1248784,1,"[4, 2, 4, 5, 2]",3.4,4.0,"[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
Q4259432$2D194B55-40A5-412D-9E7D-66D0BB6C76A2,Q4259432,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6940, 'id': 'Q6940'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665,Sintang Airport,located in time zone,UTC+07:00,Q1248784,Airport,airport in Indonesia,time zone for this item,Identifier for a time offset from UTC of +7,"['SQG', 'WIOS', 'Susilo Airport']","['timezone', 'time zone', 'time', 'TZ']","['Indochina Time', 'Western Indonesian Time', 'Kansu-Szechuan Time', 'Thailand Standard Time', 'utc+7']",en,en,en,en,en,en,en,en,en,Sintang Airport is located in the time zone UTC+07:00.,Sintang Airport is located in the time zone UTC+07:00.,0,P421Q1248784,1,"[2, 3, 4, 2, 4]",3.0,3.0,"[0, 0, 1, 0, 0]","[-1, 0, 4, -1, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
q3887427$ff9d1425-4834-9635-c0cf-8264efc128ae,Q3887427,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7056, 'id': 'Q7056'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665,Mount Hagen Airport,located in time zone,UTC+10:00,Q1248784,Airport,"airport in Mount Hagen, Papua New Guinea",time zone for this item,Identifier for a time offset from UTC of +10,"['AYMH', 'HGU']","['timezone', 'time zone', 'time', 'TZ']","['Yakutsk Time', 'Australian Eastern Standard Time', 'Chamorro Time Zone', 'utc+10', 'AEST']",en,en,en,en,en,en,en,en,en,Mount Hagen Airport is located in the time zone UTC+10:00.,Mount Hagen Airport is located in the time zone UTC+10:00.,0,P421Q1248784,1,"[4, 5, 4, 1, 5]",3.8,4.0,"[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]","[-1, -1, -1, -1, -1]",0,0.8,3,3,3
Q657005$e6b8a025-54d9-45cb-ada7-4147cc4f1577,Q657005,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6655, 'id': 'Q6655'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665,Dresden Airport,located in time zone,UTC+01:00,Q1248784,Airport,airport in Germany,time zone for this item,identifier for a time offset from UTC of +1,['DRS'],"['timezone', 'time zone', 'time', 'TZ']","['Western European Summer Time', 'Swatch Internet Time', 'CET', 'Rome Time', 'UTC+1']",en,en,en,en,en,en,en,en,en,Dresden Airport is located in the time zone UTC+01:00.,Dresden Airport is located in the time zone UTC+01:00.,0,P421Q1248784,1,"[3, 3, 3, 4, 4]",3.4,3.0,"[1, 0, 1, 0, 0]","[1, -1, 1, -1, -1]","[-1, -1, -1, -1, -1]",0,0.6,3,3,3
Q160556$FC302C04-1A7A-47C6-8B80-F4CB43FB6F47,Q160556,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6723, 'id': 'Q6723'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665,Berlin Brandenburg Airport,located in time zone,UTC+02:00,Q1248784,Airport,"airport serving Berlin and Brandenburg, Germany",time zone for this item,identifier for a time offset from UTC of +2,"['Willy Brandt Airport', 'Berlin Brandenburg', 'BER', 'EDDB', 'Berlin Airport', 'Berlin airport']","['timezone', 'time zone', 'time', 'TZ']","['Central European Summer Time', 'Eastern European Time', 'South African Standard Time', 'West Africa Summer Time', 'Central Africa Time', 'Israel Standard Time', 'utc+2', 'CEST']",en,en,en,en,en,en,en,en,en,Berlin Brandenburg Airport is located in the time zone UTC+02:00.,Berlin Brandenburg Airport is located in the time zone UTC+02:00.,0,P421Q1248784,2,"[5, 4, 4, 3, 3]",3.8,4.0,"[0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,1.0,3,3,3
Q2902212$E1F37FAE-2E83-4461-9872-72250D9A74E5,Q2902212,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6574, 'id': 'Q6574'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665,Oban Airport,located in time zone,UTC±00:00,Q1248784,Airport,"small airport in Oban, Scotland",time zone for this item,identifier for the UTC,"['North Connel Airport', 'OBN', 'EGEO']","['timezone', 'time zone', 'time', 'TZ']","['Western European Time', 'Greenwich Mean Time', 'UTC+0', 'UTC-0', 'UTC±0', 'GMT±00:00', 'GMT±0', 'GMT+0', 'GMT-0', 'UTC+00:00', 'UTC-00:00', 'GMT+00:00', 'GMT-00:00']",en,en,en,en,en,en,en,en,en,Oban Airport is located in the time zone UTC ⁇ 00:00.,Oban Airport is located in the time zone UTC±00:00.,1,P421Q1248784,2,"[4, 4, 1, 5, 2]",3.2,4.0,"[0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",0,1.0,3,3,3
