class_entity,count,class_entity_label
Q13442814,7461186,scholarly article
Q5,1832613,human
Q4167836,962952,Wikimedia category
Q523,660479,star
Q16521,589949,taxon
Q318,419347,galaxy
Q7318358,417894,review article
Q4167410,270272,Wikimedia disambiguation page
Q11173,241024,chemical compound
Q7187,239456,gene
Q8054,197230,protein
Q11266439,168468,Wikimedia template
Q13100073,117387,village-level division in China
Q486972,115688,human settlement
Q79007,115329,street
Q3305213,106476,painting
Q8502,105154,mountain
Q871232,102463,editorial
Q13433827,100022,encyclopedia article
Q101352,85563,family name
Q4022,79956,river
Q30612,70826,clinical trial
Q1931185,70486,astronomical radio source
Q13406463,66417,Wikimedia list article
Q54050,65529,hill
Q1457376,58556,eclipsing binary star
Q2668072,57488,collection
Q2247863,56971,high proper-motion star
Q532,54942,village
Q11424,52588,film
Q23397,51843,lake
Q17633526,51585,Wikinews article
Q41176,51389,building
Q3863,49767,asteroid
Q482994,44591,album
Q16970,41569,church building
Q3947,39050,house
Q4830453,37816,business
Q47150325,37766,calendar day of a given year
Q2782326,37604,case report
Q355304,35063,watercourse
Q83373,33719,quasar
Q7725634,32383,literary work
Q9842,31258,primary school
Q27020041,31202,sports season
Q3331189,29958,"version, edition, or translation"
Q18593264,29885,item of collection or exhibition
Q23442,29618,island
Q56436498,29064,village in India
Q2154519,28890,astrophysical X-ray source
Q19389637,28519,biographical article
Q811979,28513,architectural structure
Q21014462,26054,cell line
Q61443690,25810,branch post office
Q49008,25382,prime number
Q47521,25138,stream
Q11060274,23761,print
Q4164871,23748,position
Q5084,23371,hamlet
Q59199015,22451,group of stereoisomers
Q815382,21917,meta-analysis
Q5185279,20734,poem
Q5633421,19739,scientific journal
Q39816,19472,valley
Q726242,19310,RR Lyrae variable
Q23038290,19250,fossil taxon
Q55488,19194,railway station
Q134556,18976,single
Q985488,18239,residential community of the People's Republic of China
Q1153690,17827,long period variable
Q7604686,17661,UK Statutory Instrument
Q1260524,17655,time of the day
Q22698,17416,park
Q427087,17024,non-coding RNA
Q204107,17003,galaxy cluster
Q2225692,16604,fourth-level administrative division in Indonesia
Q93184,16520,drawing
Q215380,16091,musical group
Q1348305,15886,erratum
Q71963409,15803,compact group of galaxies
Q452237,15280,motion
Q67206691,15207,infrared source
Q11446,15190,ship
Q1151284,14965,D galaxy
Q12323,14871,dam
Q67383935,14816,co-educational school
Q43229,14578,organization
Q67206701,14362,far-IR source
Q22808320,14217,Wikimedia human name disambiguation page
Q47461344,14050,written work
Q124714,13972,spring
Q7366,13836,song
Q19855165,13689,rural school
Q732577,13668,publication
Q66619666,13578,Red Giant Branch star
Q34442,13535,road
Q2065736,13253,cultural property
Q55659167,13234,natural watercourse
Q191067,13201,article
Q96739634,12378,individual motion
Q2341654,12317,stone setting
Q72802727,12247,possible red giant branch star
Q57733494,12222,badminton event
Q2151232,12189,townland
Q21191270,11960,television series episode
Q125191,11519,photograph
Q277338,11514,pseudogene
Q3558970,11386,village of Poland
Q5398426,11357,television series
Q41253,11063,movie theater
Q1002697,10909,periodical
Q108325,10593,chapel
Q1580166,10536,dictionary entry
Q187971,10349,wadi
Q15632617,10209,fictional human
Q22969563,9788,bodendenkmal
Q2168098,9756,rotating variable star
Q12284,9637,canal
Q27555384,9603,transformed cell line
Q18340514,9501,events in a specific year or time period
Q6881511,9498,enterprise
Q860861,9451,sculpture
Q15416,9355,television program
Q179700,9298,statue
Q820477,9031,mine
Q11753321,9006,Wikimedia navigational template
Q34023,8945,tumulus
Q6243,8837,variable star
Q39614,8608,cemetery
Q839954,8593,archaeological site
Q7889,8583,video game
Q2996394,8383,biological process
Q253019,8299,Ortsteil
Q26211545,8251,desa
Q484170,8122,commune of France
Q28564,8096,public library
Q33506,8002,museum
Q489357,7920,farmhouse
Q11032,7894,newspaper
Q29654788,7866,Unicode character
Q17343829,7664,unincorporated community in the United States
Q1516079,7645,cultural heritage ensemble
Q3257686,7520,locality
Q24529780,7363,point
Q3914,7297,school
Q5783996,7217,cottage
Q12308941,7129,male given name
Q23894233,7021,Wikimedia templates category
Q476028,6983,association football club
Q99045339,6801,written question
Q59542487,6790,Wikimedia set category
Q126807,6741,kindergarten
Q39594,6740,bay
Q100532807,6686,Irish Statutory Instrument
Q585956,6667,masia
Q72802508,6584,emission-line galaxy
Q9826,6510,high school
Q26887310,6458,association football team season
Q23925393,6371,Douar
Q24862,6206,short film
Q187685,6173,doctoral thesis
Q11282,5918,H II region
Q18918145,5710,academic journal article
Q16510064,5693,sporting event
Q72803170,5651,low-mass star
Q23058136,5603,cancer cell line
Q1681353,5582,bog
Q4989906,5495,monument
Q2334719,5492,legal case
Q1332364,5485,rotating ellipsoidal variable
Q41298,5430,magazine
Q163740,5344,nonprofit organization
Q21672098,5321,village of Ukraine
Q72802977,5315,young stellar object candidate
Q34763,5311,peninsula
Q46190676,5296,tennis event
Q65954115,5281,State Bank of India branch
Q14204246,5280,Wikimedia project page
Q67015940,5230,Government Boys' Primary School
Q1195098,5193,ward
Q14350,5178,radio station
Q189004,5169,college
Q6999,5131,astronomical object
Q820655,5093,legislative act
Q61443650,5049,sub post office
Q16917,4978,hospital
Q4421,4893,forest
Q852190,4866,shipwreck
Q123705,4863,neighborhood
Q1248784,4853,airport
Q155076,4802,juridical person
Q12280,4791,bridge
Q1491746,4783,galaxy group
Q26895936,4780,American football team season
Q751876,4757,château
Q66826848,4755,"protein obsoleted in UniProtKB, SwissProt, TrEMBL"
Q207326,4719,summit
Q30198,4663,marsh
Q7075,4633,library
Q272447,4623,molecular cloud
Q46831,4622,mountain range
Q417841,4563,protein family
Q5707594,4557,news article
Q11879590,4546,female given name
Q838948,4495,work of art
Q24046192,4457,Wikimedia category of stubs
Q497654,4440,young stellar object
Q847017,4381,sports club
Q176799,4368,military unit
Q10870555,4316,report
Q19860854,4309,destroyed building or structure
Q133056,4299,mountain pass
Q13890,4299,double star
Q735428,4272,town in China
Q204194,4232,dark nebula
Q23413,4226,castle
Q210272,4222,cultural heritage
Q16887380,4217,group
Q130019,4179,carbon star
Q618779,4081,award
Q737498,4077,academic journal
Q2309609,4055,wayside cross
Q220659,4015,archaeological artifact
Q19692072,4003,United States Supreme Court decision
Q185113,4003,cape
Q1303167,3968,barn
Q29023906,3938,temporary exhibition
Q2042028,3901,ravine
Q131681,3896,reservoir
Q1577547,3872,revenue house
Q2593777,3853,grave field
Q634099,3852,rural settlement of Russia
Q2116450,3824,manor estate
Q3052382,3824,fonds
Q2514025,3785,posyolok
Q744691,3780,Mira variable
Q7278,3777,political party
Q202444,3769,given name
Q42195,3762,petroglyph
